[Gene ID]	[source_id]	[Product Description]	[Input ID]	
Tb927.1.1230	Tb927.1.1230:mRNA	chaperone protein DnaJ, putative	Tb927.1.1230	
Tb927.1.1330	Tb927.1.1330:mRNA	Mitochondrial Editosome-like Complex TUTase	Tb927.1.1330	
Tb927.1.1380	Tb927.1.1380:mRNA	serine/threonine protein phosphatase 2A regulatory subunit, putative	Tb927.1.1380	
Tb927.1.1400	Tb927.1.1400:mRNA	Overproducer of inositol protein 10 homolog, putative	Tb927.1.1400	
Tb927.1.1420	Tb927.1.1420:mRNA	conserved protein, unknown function	Tb927.1.1420	
Tb927.1.1530	Tb927.1.1530:mRNA	STE group serine/threonine-protein kinase, putative	Tb927.1.1530	
Tb927.1.1540	Tb927.1.1540:mRNA	Tubulin/FtsZ family, putative	Tb927.1.1540	
Tb927.1.1580	Tb927.1.1580:mRNA	electron transport protein SCO1/2, putative	Tb927.1.1580	
Tb927.1.1600	Tb927.1.1600:mRNA	pseudouridine synthase TruD, putative	Tb927.1.1600	
Tb927.1.1620	Tb927.1.1620:mRNA	ATP-dependent DEAD/H RNA helicase, putative	Tb927.1.1620	
Tb927.1.1630	Tb927.1.1630:mRNA	transcription elongation factor 1 homolog	Tb927.1.1630	
Tb927.1.1660	Tb927.1.1660:mRNA	ESCO acetyltransferase domain-containing protein	Tb927.1.1660	
Tb927.1.1670	Tb927.1.1670:mRNA	ARM-like helical domain-containing protein	Tb927.1.1670	
Tb927.1.1680	Tb927.1.1680:mRNA	Transcription elongation factor 1 domain-containing protein	Tb927.1.1680	
Tb927.1.1710	Tb927.1.1710:mRNA	transmembrane protein, conserved	Tb927.1.1710	
Tb927.1.1720	Tb927.1.1720:mRNA	cyclophilin 15, putative	Tb927.1.1720	
Tb927.1.1750	Tb927.1.1750:mRNA	conserved protein, unknown function	Tb927.1.1750	
Tb927.1.1770	Tb927.1.1770:mRNA	Dithiol glutaredoxin 2	Tb927.1.1770	
Tb927.1.1790	Tb927.1.1790:mRNA	hypothetical PIN domain-containing protein, conserved	Tb927.1.1790	
Tb927.1.1820	Tb927.1.1820:mRNA	hypothetical PIN domain-containing protein	Tb927.1.1820	
Tb927.1.1840	Tb927.1.1840:mRNA	conserved protein, unknown function	Tb927.1.1840	
Tb927.1.1880	Tb927.1.1880:mRNA	WD40 repeat-containing protein	Tb927.1.1880	
Tb927.1.1890	Tb927.1.1890:mRNA	Replication Factor C Subunit 1-related protein	Tb927.1.1890	
Tb927.1.1920	Tb927.1.1920:mRNA	conserved protein, unknown function	Tb927.1.1920	
Tb927.1.1930	Tb927.1.1930:mRNA	phosphatidylinositol 3-kinase, putative	Tb927.1.1930	
Tb927.1.1960	Tb927.1.1960:mRNA	chaperone protein DnaJ, putative	Tb927.1.1960	
Tb927.1.1980	Tb927.1.1980:mRNA	protein transport protein YIF1, putative	Tb927.1.1980	
Tb927.1.1990	Tb927.1.1990:mRNA	Pre-mRNA-splicing factor 38, putative	Tb927.1.1990	
Tb927.1.2040	Tb927.1.2040:mRNA	expression site-associated gene 2 (ESAG2) protein, putative	Tb927.1.2040	
Tb927.1.2100	Tb927.1.2100:mRNA	Calpain-like protein 1.1	Tb927.1.2100	
Tb927.1.2110	Tb927.1.2110:mRNA	Calpain-like protein 1.2	Tb927.1.2110	
Tb927.1.2120	Tb927.1.2120:mRNA	Calpain-like protein CALP1.3	Tb927.1.2120	
Tb927.1.2150	Tb927.1.2150:mRNA	Small kinetoplastid calpain-related protein 1-4	Tb927.1.2150	
Tb927.1.2160	Tb927.1.2160:mRNA	Small kinetoplastid calpain-related protein 1-5	Tb927.1.2160	
Tb927.1.2190	Tb927.1.2190:mRNA	Raptor N-terminal CASPase like domain containing protein, putative	Tb927.1.2190	
Tb927.1.2200	Tb927.1.2200:mRNA	zinc finger protein family member, putative	Tb927.1.2200	
Tb927.1.2230	Tb927.1.2230:mRNA	small myristoylated protein 1-1	Tb927.1.2230	
Tb927.1.2260	Tb927.1.2260:mRNA	small myristoylated protein 1-2	Tb927.1.2260	
Tb927.1.2320	Tb927.1.2320:mRNA	hypothetical protein, conserved	Tb927.1.2320	
Tb927.1.2330	Tb927.1.2330:mRNA	beta tubulin	Tb927.1.2330	
Tb927.1.2340	Tb927.1.2340:mRNA	alpha tubulin	Tb927.1.2340	
Tb927.1.2420	Tb927.1.2420:mRNA	hypothetical protein	Tb927.1.2420	
Tb927.1.2430	Tb927.1.2430:mRNA	histone H3, putative	Tb927.1.2430	
Tb927.1.2570	Tb927.1.2570:mRNA	coatomer beta subunit	Tb927.1.2570	
Tb927.1.2580	Tb927.1.2580:mRNA	exosome-associated protein 1	Tb927.1.2580	
Tb927.1.2600	Tb927.1.2600:mRNA	pumilio/PUF RNA binding protein 9	Tb927.1.2600	
Tb927.1.2640	Tb927.1.2640:mRNA	hypothetical protein, conserved	Tb927.1.2640	
Tb927.1.2670	Tb927.1.2670:mRNA	paralyzed flagella 16	Tb927.1.2670	
Tb927.1.270	Tb927.1.270:mRNA	hypothetical protein	Tb927.1.270	
Tb927.1.2700	Tb927.1.2700:mRNA	hypothetical protein, conserved	Tb927.1.2700	
Tb927.1.2710	Tb927.1.2710:mRNA	hypothetical protein, conserved	Tb927.1.2710	
Tb927.1.2730	Tb927.1.2730:mRNA	conserved protein, unknown function	Tb927.1.2730	
Tb927.1.2750	Tb927.1.2750:mRNA	hypothetical protein, conserved	Tb927.1.2750	
Tb927.1.2820	Tb927.1.2820:mRNA	pteridine transporter, putative	Tb927.1.2820	
Tb927.1.290	Tb927.1.290:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.1.290	
Tb927.1.2985	Tb927.1.2985:mRNA	ER protein Pkr1, putative	Tb927.1.2985	
Tb927.1.30	Tb927.1.30:mRNA	hypothetical protein	Tb927.1.30	
Tb927.1.3000	Tb927.1.3000:mRNA	amidohydrolase, putative	Tb927.1.3000	
Tb927.1.3010	Tb927.1.3010:mRNA	mRNA processing protein, putative	Tb927.1.3010	
Tb927.1.3030	Tb927.1.3030:mRNA	KREL2	Tb927.1.3030	
Tb927.1.3040	Tb927.1.3040:mRNA	hypothetical protein, conserved	Tb927.1.3040	
Tb927.1.3050	Tb927.1.3050:mRNA	tRNA (Uracil-5-)-methyltransferase, putative	Tb927.1.3050	
Tb927.1.3070	Tb927.1.3070:mRNA	hypothetical protein, conserved	Tb927.1.3070	
Tb927.1.3110	Tb927.1.3110:mRNA	soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative	Tb927.1.3110	
Tb927.1.3120	Tb927.1.3120:mRNA	Peptidase C50 separase, putative	Tb927.1.3120	
Tb927.1.3130	Tb927.1.3130:mRNA	AGC/RSK family serine/threonine kinase, putative	Tb927.1.3130	
Tb927.1.3180	Tb927.1.3180:mRNA	40S ribosomal protein S11, putative	Tb927.1.3180	
Tb927.1.3220	Tb927.1.3220:mRNA	TBC1 domain family member 20/GTPase, putative	Tb927.1.3220	
Tb927.1.3230	Tb927.1.3230:mRNA	cell division cycle protein, putative	Tb927.1.3230	
Tb927.1.3270	Tb927.1.3270:mRNA	hypothetical protein, conserved	Tb927.1.3270	
Tb927.1.3290	Tb927.1.3290:mRNA	hypothetical protein, conserved	Tb927.1.3290	
Tb927.1.3300	Tb927.1.3300:mRNA	Myotubularin-related protein, putative	Tb927.1.3300	
Tb927.1.3310	Tb927.1.3310:mRNA	hypothetical protein, conserved	Tb927.1.3310	
Tb927.1.3320	Tb927.1.3320:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.1.3320	
Tb927.1.3350	Tb927.1.3350:mRNA	hypothetical protein	Tb927.1.3350	
Tb927.1.3410	Tb927.1.3410.1:mRNA	hypothetical protein, conserved	Tb927.1.3410	
Tb927.1.3410	Tb927.1.3410.2:mRNA	hypothetical protein, conserved	Tb927.1.3410	
Tb927.1.3450	Tb927.1.3450:mRNA	hypothetical protein, conserved	Tb927.1.3450	
Tb927.1.370	Tb927.1.370.1:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.1.370	
Tb927.1.370	Tb927.1.370.2:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.1.370	
Tb927.1.3800	Tb927.1.3800:mRNA	Present in the outer mitochondrial membrane proteome 18	Tb927.1.3800	
Tb927.1.3840	Tb927.1.3840:mRNA	hypothetical protein, conserved	Tb927.1.3840	
Tb927.1.3880	Tb927.1.3880:mRNA	Fusaric acid resistance protein-like, putative	Tb927.1.3880	
Tb927.1.3910	Tb927.1.3910:mRNA	Anaphase-promoting complex subunit CDC23	Tb927.1.3910	
Tb927.1.3940	Tb927.1.3940:mRNA	hypothetical protein, conserved	Tb927.1.3940	
Tb927.1.3950	Tb927.1.3950:mRNA	alanine aminotransferase	Tb927.1.3950	
Tb927.1.40	Tb927.1.40:mRNA	hypothetical protein	Tb927.1.40	
Tb927.1.400	Tb927.1.400:mRNA	hypothetical protein, conserved	Tb927.1.400	
Tb927.1.4020	Tb927.1.4020:mRNA	hypothetical protein	Tb927.1.4020	
Tb927.1.4040	Tb927.1.4040:mRNA	hypothetical protein, conserved	Tb927.1.4040	
Tb927.1.4050	Tb927.1.4050:mRNA	ser/thr protein phosphatase, putative	Tb927.1.4050	
Tb927.1.4100	Tb927.1.4100:mRNA	cytochrome oxidase subunit IV	Tb927.1.4100	
Tb927.1.4140	Tb927.1.4140:mRNA	Bardet-Biedl syndrome 5 protein	Tb927.1.4140	
Tb927.1.4160	Tb927.1.4160:mRNA	hypothetical protein, conserved	Tb927.1.4160	
Tb927.1.4180	Tb927.1.4180:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.1.4180	
Tb927.1.4220	Tb927.1.4220.1:mRNA	Ydr279p protein family (RNase H2 complex component), putative	Tb927.1.4220	
Tb927.1.4220	Tb927.1.4220.2:mRNA	Ydr279p protein family (RNase H2 complex component), putative	Tb927.1.4220	
Tb927.1.4230	Tb927.1.4230:mRNA	hypothetical protein, conserved	Tb927.1.4230	
Tb927.1.4250	Tb927.1.4250:mRNA	hypothetical protein, conserved	Tb927.1.4250	
Tb927.1.4280	Tb927.1.4280:mRNA	hypothetical protein, conserved	Tb927.1.4280	
Tb927.1.4300	Tb927.1.4300:mRNA	chaperone protein DnaJ, putative	Tb927.1.4300	
Tb927.1.4310	Tb927.1.4310:mRNA	Flagellum attachment zone protein 2	Tb927.1.4310	
Tb927.1.4340	Tb927.1.4340:mRNA	hypothetical protein, conserved	Tb927.1.4340	
Tb927.1.4370	Tb927.1.4370:mRNA	Putative integral membrane protein conserved region (DUF2404), putative	Tb927.1.4370	
Tb927.1.4380	Tb927.1.4380:mRNA	Putative integral membrane protein conserved region (DUF2404), putative	Tb927.1.4380	
Tb927.1.4400	Tb927.1.4400:mRNA	hypothetical protein, conserved	Tb927.1.4400	
Tb927.1.4420	Tb927.1.4420:mRNA	ABC transporter, putative	Tb927.1.4420	
Tb927.1.4450	Tb927.1.4450:mRNA	calcium-activated potassium channel, putative	Tb927.1.4450	
Tb927.1.4480	Tb927.1.4480:mRNA	WD repeat and HMG-box DNA-binding protein, putative	Tb927.1.4480	
Tb927.1.4490	Tb927.1.4490:mRNA	acetyltransferase, putative	Tb927.1.4490	
Tb927.1.4500	Tb927.1.4500:mRNA	SNARE associated Golgi protein, putative	Tb927.1.4500	
Tb927.1.4650	Tb927.1.4650:mRNA	cyclin-like F-box protein 2	Tb927.1.4650	
Tb927.1.4680	Tb927.1.4680:mRNA	Kinetochore interacting protein 6	Tb927.1.4680	
Tb927.1.4690	Tb927.1.4690:mRNA	Protein arginine N-methyltransferase 1 catalytic subunit	Tb927.1.4690	
Tb927.1.470	Tb927.1.470:mRNA	Protein of unknown function (DUF1181), putative	Tb927.1.470	
Tb927.1.4700	Tb927.1.4700:mRNA	hypothetical protein, conserved	Tb927.1.4700	
Tb927.1.4720	Tb927.1.4720:mRNA	SET domain containing protein, putative	Tb927.1.4720	
Tb927.1.4740	Tb927.1.4740:mRNA	FAM91 N-terminus/FAM91 C-terminus, putative	Tb927.1.4740	
Tb927.1.4760	Tb927.1.4760:mRNA	Vacuolar sorting protein 39 domain 1/Vacuolar sorting protein 39 domain 2, putative	Tb927.1.4760	
Tb927.1.4780	Tb927.1.4780:mRNA	Alpha/beta hydrolase domain-containing protein	Tb927.1.4780	
Tb927.1.480	Tb927.1.480:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.1.480	
Tb927.1.4830	Tb927.1.4830:mRNA	phospholipase A1	Tb927.1.4830	
Tb927.1.4890	Tb927.1.4890:mRNA	expression site-associated gene 2 (ESAG2) protein, putative	Tb927.1.4890	
Tb927.1.4900	Tb927.1.4900:mRNA	expression site-associated gene 11 (ESAG11) protein, putative	Tb927.1.4900	
Tb927.1.4970	Tb927.1.4970:mRNA	hypothetical protein	Tb927.1.4970	
Tb927.1.5030	Tb927.1.5030:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.1.5030	
Tb927.1.5100	Tb927.1.5100:mRNA	expression site-associated gene 2 (ESAG2) protein, putative	Tb927.1.5100	
Tb927.1.5110	Tb927.1.5110:mRNA	expression site-associated gene 11 (ESAG11) protein, putative	Tb927.1.5110	
Tb927.1.5250	Tb927.1.5250:mRNA	hypothetical protein	Tb927.1.5250	
Tb927.1.5260	Tb927.1.5260:mRNA	hypothetical protein	Tb927.1.5260	
Tb927.1.530	Tb927.1.530.1:mRNA	hypothetical protein, conserved	Tb927.1.530	
Tb927.1.530	Tb927.1.530.2:mRNA	hypothetical protein, conserved	Tb927.1.530	
Tb927.1.540	Tb927.1.540:mRNA	DNA-directed RNA polymerase III, putative	Tb927.1.540	
Tb927.1.560	Tb927.1.560:mRNA	WD domain, G-beta repeat, putative	Tb927.1.560	
Tb927.1.570	Tb927.1.570:mRNA	Histone-lysine N-methyltransferase, H3 lysine-76 specific	Tb927.1.570	
Tb927.1.580	Tb927.1.580:mRNA	phosphate-repressible phosphate permease, putative	Tb927.1.580	
Tb927.1.600	Tb927.1.600:mRNA	phosphate-repressible phosphate permease, putative	Tb927.1.600	
Tb927.1.630	Tb927.1.630:mRNA	histone chaperone ASF1A	Tb927.1.630	
Tb927.1.640	Tb927.1.640:mRNA	BRCA2	Tb927.1.640	
Tb927.1.650	Tb927.1.650:mRNA	conserved protein, unknown function	Tb927.1.650	
Tb927.1.670	Tb927.1.670:mRNA	conserved protein, unknown function	Tb927.1.670	
Tb927.1.690	Tb927.1.690:mRNA	hypothetical protein, conserved	Tb927.1.690	
Tb927.1.700	Tb927.1.700:mRNA	phosphoglycerate kinase	Tb927.1.700	
Tb927.1.710	Tb927.1.710:mRNA	phosphoglycerate kinase	Tb927.1.710	
Tb927.1.720	Tb927.1.720:mRNA	phosphoglycerate kinase	Tb927.1.720	
Tb927.1.730	Tb927.1.730:mRNA	NADH-ubiquinone oxidoreductase complex I subunit, putative	Tb927.1.730	
Tb927.1.760	Tb927.1.760:mRNA	wd40 repeat domain-containing protein	Tb927.1.760	
Tb927.1.820	Tb927.1.820:mRNA	kelch domain-containing protein	Tb927.1.820	
Tb927.1.830	Tb927.1.830.1:mRNA	hypothetical protein, conserved	Tb927.1.830	
Tb927.1.830	Tb927.1.830.2:mRNA	hypothetical protein, conserved	Tb927.1.830	
Tb927.1.840	Tb927.1.840:mRNA	transmembrane protein, putative	Tb927.1.840	
Tb927.1.860	Tb927.1.860:mRNA	transmembrane protein, putative	Tb927.1.860	
Tb927.1.880	Tb927.1.880:mRNA	Midasin, putative	Tb927.1.880	
Tb927.1.890	Tb927.1.890:mRNA	hypothetical protein, conserved	Tb927.1.890	
Tb927.10.1000	Tb927.10.1000:mRNA	hypothetical protein	Tb927.10.1000	
Tb927.10.10010	Tb927.10.10010:mRNA	mRNA turnover protein 4 homolog, putative	Tb927.10.10010	
Tb927.10.10020	Tb927.10.10020:mRNA	Rab5 GDP/GTP exchange factor (Rabex-5), putative	Tb927.10.10020	
Tb927.10.10030	Tb927.10.10030:mRNA	hypothetical protein, conserved	Tb927.10.10030	
Tb927.10.10050	Tb927.10.10050:mRNA	hypothetical protein, conserved	Tb927.10.10050	
Tb927.10.10070	Tb927.10.10070:mRNA	hypothetical protein, conserved	Tb927.10.10070	
Tb927.10.10080	Tb927.10.10080:mRNA	hypothetical protein, conserved	Tb927.10.10080	
Tb927.10.10090	Tb927.10.10090:mRNA	Component of motile flagella 14	Tb927.10.10090	
Tb927.10.1010	Tb927.10.1010:mRNA	hypothetical protein	Tb927.10.1010	
Tb927.10.10100	Tb927.10.10100:mRNA	hypothetical protein, conserved	Tb927.10.10100	
Tb927.10.10110	Tb927.10.10110:mRNA	PIG-P, putative	Tb927.10.10110	
Tb927.10.10120	Tb927.10.10120:mRNA	hypothetical protein, conserved	Tb927.10.10120	
Tb927.10.10130	Tb927.10.10130:mRNA	RNA editing mediator complex protein 1	Tb927.10.10130	
Tb927.10.10160	Tb927.10.10160:mRNA	Pentatricopeptide repeat protein (PPR), putative	Tb927.10.10160	
Tb927.10.10180	Tb927.10.10180:mRNA	Miro-like protein, putative	Tb927.10.10180	
Tb927.10.10190	Tb927.10.10190:mRNA	Leucine-rich repeat domain containing protein	Tb927.10.10190	
Tb927.10.1020	Tb927.10.1020:mRNA	hypothetical protein	Tb927.10.1020	
Tb927.10.10200	Tb927.10.10200:mRNA	hypothetical protein, conserved	Tb927.10.10200	
Tb927.10.10220	Tb927.10.10220:mRNA	procyclin-associated gene 2 (PAG2) protein	Tb927.10.10220	
Tb927.10.10240	Tb927.10.10240:mRNA	procyclin-associated gene 1 (PAG1) protein	Tb927.10.10240	
Tb927.10.10250	Tb927.10.10250:mRNA	EP2 procyclin	Tb927.10.10250	
Tb927.10.10260	Tb927.10.10260:mRNA	EP1 procyclin	Tb927.10.10260	
Tb927.10.10280	Tb927.10.10280:mRNA	microtubule-associated protein, putative	Tb927.10.10280	
Tb927.10.10290	Tb927.10.10290:mRNA	hypothetical protein, conserved	Tb927.10.10290	
Tb927.10.1030	Tb927.10.1030:mRNA	serine peptidase, Clan SC, Family S10	Tb927.10.1030	
Tb927.10.10300	Tb927.10.10300:mRNA	hypothetical protein, conserved	Tb927.10.10300	
Tb927.10.10320	Tb927.10.10320:mRNA	dynein light chain Tctex-type, putative	Tb927.10.10320	
Tb927.10.10330	Tb927.10.10330:mRNA	Anaphase-promoting complex subunit CDC27	Tb927.10.10330	
Tb927.10.10350	Tb927.10.10350:mRNA	STE/STE11 serine/threonine-protein kinase, putative	Tb927.10.10350	
Tb927.10.10380	Tb927.10.10380:mRNA	ATP-dependent DEAD/H RNA helicase, putative	Tb927.10.10380	
Tb927.10.10410	Tb927.10.10410:mRNA	DNA replication licensing factor MCM8, putative	Tb927.10.10410	
Tb927.10.10420	Tb927.10.10420:mRNA	monothiol glutaredoxin, putative	Tb927.10.10420	
Tb927.10.10430	Tb927.10.10430:mRNA	hypothetical protein, conserved	Tb927.10.10430	
Tb927.10.10440	Tb927.10.10440:mRNA	mitochondrial carrier protein	Tb927.10.10440	
Tb927.10.10460	Tb927.10.10460:mRNA	histone H2B, putative	Tb927.10.10460	
Tb927.10.1060	Tb927.10.1060:mRNA	T-complex protein 1, delta subunit, putative	Tb927.10.1060	
Tb927.10.10610	Tb927.10.10610:mRNA	protein tyrosine phosphatase, putative	Tb927.10.10610	
Tb927.10.10620	Tb927.10.10620:mRNA	hypothetical protein, conserved	Tb927.10.10620	
Tb927.10.10630	Tb927.10.10630:mRNA	hypothetical protein, conserved	Tb927.10.10630	
Tb927.10.10670	Tb927.10.10670:mRNA	kinetoplastid-specific dual specificity phosphatase, putative	Tb927.10.10670	
Tb927.10.10680	Tb927.10.10680:mRNA	hypothetical protein, conserved	Tb927.10.10680	
Tb927.10.10690	Tb927.10.10690:mRNA	CEP19-like protein, putative	Tb927.10.10690	
Tb927.10.1070	Tb927.10.1070:mRNA	cdc2-related kinase 1	Tb927.10.1070	
Tb927.10.10710	Tb927.10.10710:mRNA	hypothetical protein, conserved	Tb927.10.10710	
Tb927.10.10720	Tb927.10.10720:mRNA	Tetraspanin family, putative	Tb927.10.10720	
Tb927.10.10730	Tb927.10.10730:mRNA	RNA Interference Factor 5	Tb927.10.10730	
Tb927.10.10740	Tb927.10.10740:mRNA	hypothetical protein, conserved	Tb927.10.10740	
Tb927.10.10750	Tb927.10.10750:mRNA	metallo-peptidase, Clan MC, Family M14, putative	Tb927.10.10750	
Tb927.10.10770	Tb927.10.10770:mRNA	Generative cell specific 1 protein, putative	Tb927.10.10770	
Tb927.10.10780	Tb927.10.10780:mRNA	hypothetical protein, conserved	Tb927.10.10780	
Tb927.10.1080	Tb927.10.1080:mRNA	40S ribosomal protein S23, putative	Tb927.10.1080	
Tb927.10.10800	Tb927.10.10800:mRNA	palmitoyl acyltransferase 2, putative	Tb927.10.10800	
Tb927.10.10810	Tb927.10.10810:mRNA	adenosine deaminase-like protein	Tb927.10.10810	
Tb927.10.10820	Tb927.10.10820:mRNA	hypothetical protein, conserved	Tb927.10.10820	
Tb927.10.10830	Tb927.10.10830:mRNA	RGG-containing protein 2	Tb927.10.10830	
Tb927.10.10840	Tb927.10.10840:mRNA	Enriched in surface-labeled proteome protein 15	Tb927.10.10840	
Tb927.10.10850	Tb927.10.10850:mRNA	Protein argonaute-1	Tb927.10.10850	
Tb927.10.10870	Tb927.10.10870:mRNA	CMGC family protein kinase, putative	Tb927.10.10870	
Tb927.10.10880	Tb927.10.10880:mRNA	ATP-binding cassette sub-family F member 1, putative	Tb927.10.10880	
Tb927.10.10980	Tb927.10.10980:mRNA	heat shock protein 90, putative	Tb927.10.10980	
Tb927.10.10990	Tb927.10.10990:mRNA	predicted WD40 repeat protein	Tb927.10.10990	
Tb927.10.1100	Tb927.10.1100:mRNA	60S ribosomal protein L9, putative	Tb927.10.1100	
Tb927.10.11000	Tb927.10.11000:mRNA	hypothetical protein, conserved	Tb927.10.11000	
Tb927.10.11020	Tb927.10.11020:mRNA	DNA mismatch repair protein MSH2, putative	Tb927.10.11020	
Tb927.10.11030	Tb927.10.11030:mRNA	Archaic translocase of outer membrane 11 kDa subunit	Tb927.10.11030	
Tb927.10.11040	Tb927.10.11040:mRNA	hypothetical protein, conserved	Tb927.10.11040	
Tb927.10.11060	Tb927.10.11060:mRNA	hypothetical protein, conserved	Tb927.10.11060	
Tb927.10.11070	Tb927.10.11070:mRNA	hypothetical protein, conserved	Tb927.10.11070	
Tb927.10.1110	Tb927.10.1110:mRNA	kinesin, putative	Tb927.10.1110	
Tb927.10.11130	Tb927.10.11130:mRNA	SET domain containing protein, putative	Tb927.10.11130	
Tb927.10.11140	Tb927.10.11140:mRNA	hypothetical protein, conserved	Tb927.10.11140	
Tb927.10.11150	Tb927.10.11150:mRNA	hypothetical protein, conserved	Tb927.10.11150	
Tb927.10.11160	Tb927.10.11160:mRNA	NFU2 iron-sulfur cluster scaffold homolog, mitochondrial	Tb927.10.11160	
Tb927.10.11180	Tb927.10.11180:mRNA	Ubiquitin-like modifier-activating enzyme ATG7, putative	Tb927.10.11180	
Tb927.10.11190	Tb927.10.11190:mRNA	tRNA-splicing ligase RtcB, putative	Tb927.10.11190	
Tb927.10.1120	Tb927.10.1120:mRNA	hypothetical protein, conserved	Tb927.10.1120	
Tb927.10.11200	Tb927.10.11200:mRNA	hypothetical protein, conserved	Tb927.10.11200	
Tb927.10.11220	Tb927.10.11220:mRNA	procyclic form surface phosphoprotein	Tb927.10.11220	
Tb927.10.11240	Tb927.10.11240:mRNA	hypothetical protein, conserved	Tb927.10.11240	
Tb927.10.11250	Tb927.10.11250:mRNA	Coiled-coil domain-containing protein 40 homolog	Tb927.10.11250	
Tb927.10.11260	Tb927.10.11260:mRNA	SSU ribosomal protein, mitochondrial, putative	Tb927.10.11260	
Tb927.10.11270	Tb927.10.11270:mRNA	RNA-binding protein, putative	Tb927.10.11270	
Tb927.10.11280	Tb927.10.11280:mRNA	hypothetical protein	Tb927.10.11280	
Tb927.10.11290	Tb927.10.11290:mRNA	hypothetical protein, conserved	Tb927.10.11290	
Tb927.10.1130	Tb927.10.1130:mRNA	dynein arm light chain, axonemal, putative	Tb927.10.1130	
Tb927.10.11310	Tb927.10.11310:mRNA	intraflagellar transport protein 57/55	Tb927.10.11310	
Tb927.10.11350	Tb927.10.11350:mRNA	LSU ribosomal protein, mitochondrial, putative	Tb927.10.11350	
Tb927.10.11370	Tb927.10.11370:mRNA	hypothetical protein, conserved	Tb927.10.11370	
Tb927.10.11380	Tb927.10.11380:mRNA	hypothetical protein, conserved	Tb927.10.11380	
Tb927.10.11390	Tb927.10.11390:mRNA	60S ribosomal protein L6, putative	Tb927.10.11390	
Tb927.10.1140	Tb927.10.1140:mRNA	epsilon tubulin	Tb927.10.1140	
Tb927.10.11400	Tb927.10.11400:mRNA	WD domain, G-beta repeat, putative	Tb927.10.11400	
Tb927.10.11410	Tb927.10.11410:mRNA	hypothetical protein, conserved	Tb927.10.11410	
Tb927.10.11420	Tb927.10.11420:mRNA	hypothetical protein, conserved	Tb927.10.11420	
Tb927.10.11440	Tb927.10.11440:mRNA	G1 cyclin CycE4, putative	Tb927.10.11440	
Tb927.10.11450	Tb927.10.11450:mRNA	TFIIF-stimulated CTD phosphatase, putative	Tb927.10.11450	
Tb927.10.11470	Tb927.10.11470:mRNA	hypothetical protein, conserved	Tb927.10.11470	
Tb927.10.11480	Tb927.10.11480:mRNA	hypothetical protein, conserved	Tb927.10.11480	
Tb927.10.1150	Tb927.10.1150:mRNA	hypothetical protein, conserved	Tb927.10.1150	
Tb927.10.11510	Tb927.10.11510:mRNA	hypothetical protein, conserved	Tb927.10.11510	
Tb927.10.11520	Tb927.10.11520:mRNA	mitochondrial import inner membrane translocase subunit tim13	Tb927.10.11520	
