Gene ID	source_id	Product Description	Input ID	
Tb927.1.2770	Tb927.1.2770:mRNA	hypothetical protein, conserved	Tb927.1.2770	
Tb927.1.2970	Tb927.1.2970:mRNA	hypothetical protein, conserved	Tb927.1.2970	
Tb927.1.2985	Tb927.1.2985:mRNA	ER protein Pkr1, putative	Tb927.1.2985	
Tb927.1.3000	Tb927.1.3000:mRNA	amidohydrolase, putative	Tb927.1.3000	
Tb927.1.3010	Tb927.1.3010:mRNA	mRNA processing protein, putative	Tb927.1.3010	
Tb927.1.3030	Tb927.1.3030:mRNA	KREL2	Tb927.1.3030	
Tb927.1.3070	Tb927.1.3070:mRNA	hypothetical protein, conserved	Tb927.1.3070	
Tb927.1.3110	Tb927.1.3110:mRNA	soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative	Tb927.1.3110	
Tb927.1.3170	Tb927.1.3170:mRNA	CHORD, putative	Tb927.1.3170	
Tb927.1.3180	Tb927.1.3180:mRNA	40S ribosomal protein S11, putative	Tb927.1.3180	
Tb927.1.3200	Tb927.1.3200:mRNA	Suppressor of G2 allele of SKP1, putative	Tb927.1.3200	
Tb927.1.3220	Tb927.1.3220:mRNA	TBC1 domain family member 20/GTPase, putative	Tb927.1.3220	
Tb927.1.3250	Tb927.1.3250:mRNA	Domain of unknown function (DUF4456), putative	Tb927.1.3250	
Tb927.1.3260	Tb927.1.3260:mRNA	hypothetical protein, conserved	Tb927.1.3260	
Tb927.1.3270	Tb927.1.3270:mRNA	hypothetical protein, conserved	Tb927.1.3270	
Tb927.1.330	Tb927.1.330:pseudogenic_transcript	retrotransposon hot spot protein (RHS, pseudogene), putative	Tb927.1.330	
Tb927.1.3300	Tb927.1.3300:mRNA	Myotubularin-related protein, putative	Tb927.1.3300	
Tb927.1.3310	Tb927.1.3310:mRNA	hypothetical protein, conserved	Tb927.1.3310	
Tb927.1.3410	Tb927.1.3410.1:mRNA	hypothetical protein, conserved	Tb927.1.3410	
Tb927.1.3410	Tb927.1.3410.2:mRNA	hypothetical protein, conserved	Tb927.1.3410	
Tb927.1.3450	Tb927.1.3450:mRNA	hypothetical protein, conserved	Tb927.1.3450	
Tb927.1.3560	Tb927.1.3560:mRNA	Centrosomal protein of 164 kDa, putative	Tb927.1.3560	
Tb927.1.3820	Tb927.1.3820:mRNA	ATP synthase subunit, putative	Tb927.1.3820	
Tb927.1.3830	Tb927.1.3830:mRNA	glucose-6-phosphate isomerase, glycosomal	Tb927.1.3830	
Tb927.1.4010	Tb927.1.4010:mRNA	primase 2	Tb927.1.4010	
Tb927.1.4050	Tb927.1.4050:mRNA	ser/thr protein phosphatase, putative	Tb927.1.4050	
Tb927.1.4100	Tb927.1.4100:mRNA	cytochrome oxidase subunit IV	Tb927.1.4100	
Tb927.1.4180	Tb927.1.4180:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.1.4180	
Tb927.1.4280	Tb927.1.4280:mRNA	hypothetical protein, conserved	Tb927.1.4280	
Tb927.1.4310	Tb927.1.4310:mRNA	Flagellum attachment zone protein 2	Tb927.1.4310	
Tb927.1.4340	Tb927.1.4340:mRNA	hypothetical protein, conserved	Tb927.1.4340	
Tb927.1.4420	Tb927.1.4420:mRNA	ABC transporter, putative	Tb927.1.4420	
Tb927.1.4490	Tb927.1.4490:mRNA	acetyltransferase, putative	Tb927.1.4490	
Tb927.1.450	Tb927.1.450:pseudogenic_transcript	retrotransposon hot spot protein (RHS, pseudogene), putative	Tb927.1.450	
Tb927.1.4500	Tb927.1.4500:mRNA	SNARE associated Golgi protein, putative	Tb927.1.4500	
Tb927.1.4680	Tb927.1.4680:mRNA	Kinetochore interacting protein 6	Tb927.1.4680	
Tb927.1.4690	Tb927.1.4690:mRNA	Protein arginine N-methyltransferase 1 catalytic subunit	Tb927.1.4690	
Tb927.1.4720	Tb927.1.4720:mRNA	SET domain containing protein, putative	Tb927.1.4720	
Tb927.1.4760	Tb927.1.4760:mRNA	Vacuolar sorting protein 39 domain 1/Vacuolar sorting protein 39 domain 2, putative	Tb927.1.4760	
Tb927.1.4830	Tb927.1.4830:mRNA	phospholipase A1	Tb927.1.4830	
Tb927.1.5000	Tb927.1.5000:mRNA	hypothetical protein, conserved	Tb927.1.5000	
Tb927.1.570	Tb927.1.570:mRNA	Histone-lysine N-methyltransferase, H3 lysine-76 specific	Tb927.1.570	
Tb927.1.600	Tb927.1.600:mRNA	phosphate-repressible phosphate permease, putative	Tb927.1.600	
Tb927.1.640	Tb927.1.640:mRNA	BRCA2	Tb927.1.640	
Tb927.1.700	Tb927.1.700:mRNA	phosphoglycerate kinase	Tb927.1.700	
Tb927.1.710	Tb927.1.710:mRNA	phosphoglycerate kinase	Tb927.1.710	
Tb927.1.720	Tb927.1.720:mRNA	phosphoglycerate kinase	Tb927.1.720	
Tb927.1.840	Tb927.1.840:mRNA	transmembrane protein, putative	Tb927.1.840	
Tb927.1.860	Tb927.1.860:mRNA	transmembrane protein, putative	Tb927.1.860	
Tb927.1.90	Tb927.1.90:pseudogenic_transcript	retrotransposon hot spot protein (RHS, pseudogene), putative	Tb927.1.90	
Tb927.1.990	Tb927.1.990:mRNA	Enkuring domain-containig protein	Tb927.1.990	
Tb927.10.10000	Tb927.10.10000:mRNA	hypothetical protein, conserved	Tb927.10.10000	
Tb927.10.10010	Tb927.10.10010:mRNA	mRNA turnover protein 4 homolog, putative	Tb927.10.10010	
Tb927.10.10080	Tb927.10.10080:mRNA	hypothetical protein, conserved	Tb927.10.10080	
Tb927.10.10120	Tb927.10.10120:mRNA	hypothetical protein, conserved	Tb927.10.10120	
Tb927.10.10130	Tb927.10.10130:mRNA	RNA editing mediator complex protein 1	Tb927.10.10130	
Tb927.10.10140	Tb927.10.10140:mRNA	paraflagellar rod component, putative	Tb927.10.10140	
Tb927.10.10160	Tb927.10.10160:mRNA	Pentatricopeptide repeat protein (PPR), putative	Tb927.10.10160	
Tb927.10.10280	Tb927.10.10280:mRNA	microtubule-associated protein, putative	Tb927.10.10280	
Tb927.10.10290	Tb927.10.10290:mRNA	hypothetical protein, conserved	Tb927.10.10290	
Tb927.10.10320	Tb927.10.10320:mRNA	dynein light chain Tctex-type, putative	Tb927.10.10320	
Tb927.10.10340	Tb927.10.10340:mRNA	structural maintenance of chromosome 2, putative	Tb927.10.10340	
Tb927.10.10350	Tb927.10.10350:mRNA	STE/STE11 serine/threonine-protein kinase, putative	Tb927.10.10350	
Tb927.10.10360	Tb927.10.10360:mRNA	Microtubule-associated repetitive protein	Tb927.10.10360	
Tb927.10.10390	Tb927.10.10390:mRNA	trypanothione reductase	Tb927.10.10390	
Tb927.10.10400	Tb927.10.10400:mRNA	Mitochondrial ribosomal protein S11	Tb927.10.10400	
Tb927.10.10420	Tb927.10.10420:mRNA	monothiol glutaredoxin, putative	Tb927.10.10420	
Tb927.10.10460	Tb927.10.10460:mRNA	histone H2B, putative	Tb927.10.10460	
Tb927.10.1050	Tb927.10.1050:mRNA	serine peptidase, Clan SC, Family S10	Tb927.10.1050	
Tb927.10.1060	Tb927.10.1060:mRNA	T-complex protein 1, delta subunit, putative	Tb927.10.1060	
Tb927.10.10610	Tb927.10.10610:mRNA	protein tyrosine phosphatase, putative	Tb927.10.10610	
Tb927.10.1070	Tb927.10.1070:mRNA	cdc2-related kinase 1	Tb927.10.1070	
Tb927.10.10700	Tb927.10.10700:mRNA	splicing factor Prp31	Tb927.10.10700	
Tb927.10.10730	Tb927.10.10730:mRNA	RNA Interference Factor 5	Tb927.10.10730	
Tb927.10.10740	Tb927.10.10740:mRNA	hypothetical protein, conserved	Tb927.10.10740	
Tb927.10.1080	Tb927.10.1080:mRNA	40S ribosomal protein S23, putative	Tb927.10.1080	
Tb927.10.10820	Tb927.10.10820:mRNA	hypothetical protein, conserved	Tb927.10.10820	
Tb927.10.10830	Tb927.10.10830:mRNA	RGG-containing protein 2	Tb927.10.10830	
Tb927.10.10850	Tb927.10.10850:mRNA	Protein argonaute-1	Tb927.10.10850	
Tb927.10.10880	Tb927.10.10880:mRNA	ATP-binding cassette sub-family F member 1, putative	Tb927.10.10880	
Tb927.10.10890	Tb927.10.10890:mRNA	heat shock protein, putative	Tb927.10.10890	
Tb927.10.1100	Tb927.10.1100:mRNA	60S ribosomal protein L9, putative	Tb927.10.1100	
Tb927.10.11020	Tb927.10.11020:mRNA	DNA mismatch repair protein MSH2, putative	Tb927.10.11020	
Tb927.10.11030	Tb927.10.11030:mRNA	Archaic translocase of outer membrane 11 kDa subunit	Tb927.10.11030	
Tb927.10.11080	Tb927.10.11080:mRNA	paraflagellar rod protein	Tb927.10.11080	
Tb927.10.11160	Tb927.10.11160:mRNA	NFU2 iron-sulfur cluster scaffold homolog, mitochondrial	Tb927.10.11160	
Tb927.10.11170	Tb927.10.11170:mRNA	hypothetical protein, conserved	Tb927.10.11170	
Tb927.10.11180	Tb927.10.11180:mRNA	Ubiquitin-like modifier-activating enzyme ATG7, putative	Tb927.10.11180	
Tb927.10.11200	Tb927.10.11200:mRNA	hypothetical protein, conserved	Tb927.10.11200	
Tb927.10.11220	Tb927.10.11220:mRNA	procyclic form surface phosphoprotein	Tb927.10.11220	
Tb927.10.11250	Tb927.10.11250:mRNA	Coiled-coil domain-containing protein 40 homolog	Tb927.10.11250	
Tb927.10.1130	Tb927.10.1130:mRNA	dynein arm light chain, axonemal, putative	Tb927.10.1130	
Tb927.10.11300	Tb927.10.11300:mRNA	paraflagellar rod component, putative	Tb927.10.11300	
Tb927.10.11310	Tb927.10.11310:mRNA	intraflagellar transport protein 57/55	Tb927.10.11310	
Tb927.10.11330	Tb927.10.11330:mRNA	EF-hand domain pair, putative	Tb927.10.11330	
Tb927.10.11340	Tb927.10.11340:mRNA	hypothetical protein, conserved	Tb927.10.11340	
Tb927.10.11370	Tb927.10.11370:mRNA	hypothetical protein, conserved	Tb927.10.11370	
Tb927.10.11380	Tb927.10.11380:mRNA	hypothetical protein, conserved	Tb927.10.11380	
Tb927.10.11390	Tb927.10.11390:mRNA	60S ribosomal protein L6, putative	Tb927.10.11390	
Tb927.10.1140	Tb927.10.1140:mRNA	epsilon tubulin	Tb927.10.1140	
Tb927.10.11400	Tb927.10.11400:mRNA	WD domain, G-beta repeat, putative	Tb927.10.11400	
Tb927.10.11510	Tb927.10.11510:mRNA	hypothetical protein, conserved	Tb927.10.11510	
Tb927.10.11520	Tb927.10.11520:mRNA	mitochondrial import inner membrane translocase subunit tim13	Tb927.10.11520	
Tb927.10.11570	Tb927.10.11570:mRNA	hypothetical protein, conserved	Tb927.10.11570	
Tb927.10.11590	Tb927.10.11590:mRNA	nicotinate phosphoribosyltransferase, putative	Tb927.10.11590	
Tb927.10.1160	Tb927.10.1160:mRNA	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative	Tb927.10.1160	
Tb927.10.11660	Tb927.10.11660:mRNA	hypothetical protein, conserved	Tb927.10.11660	
Tb927.10.1170	Tb927.10.1170:mRNA	intraflagellar transport protein 172	Tb927.10.1170	
Tb927.10.11700	Tb927.10.11700:mRNA	guanylate kinase, putative	Tb927.10.11700	
Tb927.10.11730	Tb927.10.11730:mRNA	zinc finger protein family member, putative	Tb927.10.11730	
Tb927.10.11760	Tb927.10.11760:mRNA	pumilio/PUF RNA binding protein 6	Tb927.10.11760	
Tb927.10.11780	Tb927.10.11780:mRNA	hypothetical protein, conserved	Tb927.10.11780	
Tb927.10.11800	Tb927.10.11800:mRNA	Axonemal inner arm dynein light chain, putative	Tb927.10.11800	
Tb927.10.11810	Tb927.10.11810:mRNA	hypothetical protein, conserved	Tb927.10.11810	
Tb927.10.11870	Tb927.10.11870:mRNA	Guide RNA binding complex protein 5	Tb927.10.11870	
Tb927.10.11930	Tb927.10.11930:mRNA	beta-D-hydroxybutyrate dehydrogenase	Tb927.10.11930	
Tb927.10.11970	Tb927.10.11970:mRNA	glutamine aminotransferase (GlnAT)	Tb927.10.11970	
Tb927.10.11990	Tb927.10.11990:mRNA	60S ribosome subunit biogenesis protein NIP7, putative	Tb927.10.11990	
Tb927.10.12000	Tb927.10.12000:mRNA	iron-sulfur cluster assembly protein, putative	Tb927.10.12000	
Tb927.10.12010	Tb927.10.12010:mRNA	hypothetical protein, conserved	Tb927.10.12010	
Tb927.10.12030	Tb927.10.12030:mRNA	hypothetical protein, conserved	Tb927.10.12030	
Tb927.10.12050	Tb927.10.12050:mRNA	LSU ribosomal protein, mitochondrial, putative	Tb927.10.12050	
Tb927.10.12090	Tb927.10.12090:mRNA	RNA-binding protein, putative	Tb927.10.12090	
Tb927.10.1210	Tb927.10.1210:mRNA	katanin, putative	Tb927.10.1210	
Tb927.10.12130	Tb927.10.12130:mRNA	Ubiquitin family, putative	Tb927.10.12130	
Tb927.10.12180	Tb927.10.12180:mRNA	hypothetical protein, conserved	Tb927.10.12180	
Tb927.10.12210	Tb927.10.12210:mRNA	ribulose-5-phosphate 3-epimerase, putative	Tb927.10.12210	
Tb927.10.12240	Tb927.10.12240:mRNA	3-ketoacyl-CoA reductase, putative	Tb927.10.12240	
Tb927.10.12260	Tb927.10.12260:mRNA	cytosolic nonspecific dipeptidase, putative	Tb927.10.12260	
Tb927.10.12290	Tb927.10.12290:mRNA	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	Tb927.10.12290	
Tb927.10.1230	Tb927.10.1230:mRNA	Enriched in surface-labeled proteome protein 23	Tb927.10.1230	
Tb927.10.12310	Tb927.10.12310:mRNA	helicase-like protein	Tb927.10.12310	
Tb927.10.12330	Tb927.10.12330:mRNA	zinc finger protein family member, putative	Tb927.10.12330	
Tb927.10.12360	Tb927.10.12360:mRNA	hypothetical protein, conserved	Tb927.10.12360	
Tb927.10.12370	Tb927.10.12370:mRNA	gamma-glutamylcysteine synthetase	Tb927.10.12370	
Tb927.10.12390	Tb927.10.12390:mRNA	hypothetical protein, conserved	Tb927.10.12390	
Tb927.10.1240	Tb927.10.1240:mRNA	hypothetical protein, conserved	Tb927.10.1240	
Tb927.10.12410	Tb927.10.12410:mRNA	hypothetical protein, conserved	Tb927.10.12410	
Tb927.10.12420	Tb927.10.12420:mRNA	predicted S. cerevisiae Got1 homologue	Tb927.10.12420	
Tb927.10.12430	Tb927.10.12430:mRNA	Noc2p family, putative	Tb927.10.12430	
Tb927.10.12490	Tb927.10.12490:mRNA	kinesin, putative	Tb927.10.12490	
Tb927.10.1250	Tb927.10.1250:mRNA	Aminoacyl-tRNA editing domain containing protein, putative	Tb927.10.1250	
Tb927.10.12500	Tb927.10.12500:mRNA	P-type H+-ATPase, putative	Tb927.10.12500	
Tb927.10.12510	Tb927.10.12510:mRNA	P-type H+-ATPase, putative	Tb927.10.12510	
Tb927.10.12540	Tb927.10.12540:mRNA	NADH-ubiquinone oxidoreductase complex I subunit, putative	Tb927.10.12540	
Tb927.10.12590	Tb927.10.12590:mRNA	hypothetical protein, conserved	Tb927.10.12590	
Tb927.10.1260	Tb927.10.1260:mRNA	aspartyl-tRNA synthetase, putative	Tb927.10.1260	
Tb927.10.12600	Tb927.10.12600:mRNA	Small RNA 2'-O-methyltransferase	Tb927.10.12600	
Tb927.10.12630	Tb927.10.12630:mRNA	hypothetical protein, conserved	Tb927.10.12630	
Tb927.10.12660	Tb927.10.12660:mRNA	pumilio/PUF RNA binding protein 2	Tb927.10.12660	
Tb927.10.12670	Tb927.10.12670:mRNA	hypothetical protein, conserved	Tb927.10.12670	
Tb927.10.12700	Tb927.10.12700:mRNA	pyruvate dehydrogenase E1 alpha subunit, putative	Tb927.10.12700	
Tb927.10.12710	Tb927.10.12710:mRNA	heat shock protein 110, putative	Tb927.10.12710	
Tb927.10.12720	Tb927.10.12720:mRNA	hypothetical protein, conserved	Tb927.10.12720	
Tb927.10.12740	Tb927.10.12740:mRNA	Zinc finger CCCH domain-containing protein 35	Tb927.10.12740	
Tb927.10.1280	Tb927.10.1280:mRNA	Domain of unknown function (DUF4499), putative	Tb927.10.1280	
Tb927.10.12810	Tb927.10.12810:mRNA	cholinephosphate cytidylyltransferase A, putative	Tb927.10.12810	
Tb927.10.12840	Tb927.10.12840:mRNA	mitochondrial carrier protein	Tb927.10.12840	
Tb927.10.12850	Tb927.10.12850:mRNA	ttaggg binding factor	Tb927.10.12850	
Tb927.10.12860	Tb927.10.12860:mRNA	pre-RNA processing PIH1/Nop17, putative	Tb927.10.12860	
Tb927.10.12870	Tb927.10.12870:mRNA	Basal body protein	Tb927.10.12870	
Tb927.10.12890	Tb927.10.12890:mRNA	bifunctional aminoacyl-tRNA synthetase, putative	Tb927.10.12890	
Tb927.10.12930	Tb927.10.12930:mRNA	hypothetical protein, conserved	Tb927.10.12930	
Tb927.10.12940	Tb927.10.12940:mRNA	predicted zinc finger protein	Tb927.10.12940	
Tb927.10.12960	Tb927.10.12960:mRNA	Ras-related protein Rab5A	Tb927.10.12960	
Tb927.10.12970	Tb927.10.12970:mRNA	AN1-like zinc finger, putative	Tb927.10.12970	
Tb927.10.13000	Tb927.10.13000:mRNA	cAMP phosphodiesterase A, putative	Tb927.10.13000	
Tb927.10.13010	Tb927.10.13010:mRNA	cAMP-dependent protein kinase catalytic subunit 3	Tb927.10.13010	
Tb927.10.13040	Tb927.10.13040:mRNA	procyclic-enriched flagellar receptor adenylate cyclase 4	Tb927.10.13040	
Tb927.10.13110	Tb927.10.13110:mRNA	Outer arm dynein light chain 7	Tb927.10.13110	
Tb927.10.13130	Tb927.10.13130:mRNA	UTP-glucose-1-phosphate uridylyltransferase	Tb927.10.13130	
Tb927.10.13140	Tb927.10.13140:mRNA	hypothetical protein, conserved	Tb927.10.13140	
Tb927.10.13180	Tb927.10.13180:mRNA	Nrap protein, putative	Tb927.10.13180	
Tb927.10.1320	Tb927.10.1320:mRNA	hypothetical protein, conserved	Tb927.10.1320	
Tb927.10.13240	Tb927.10.13240:mRNA	hypothetical protein, conserved	Tb927.10.13240	
Tb927.10.13250	Tb927.10.13250:mRNA	hypothetical protein, conserved	Tb927.10.13250	
Tb927.10.13260	Tb927.10.13260:mRNA	hypothetical protein, conserved	Tb927.10.13260	
Tb927.10.13270	Tb927.10.13270:mRNA	Periodic tryptophan protein 2 homolog, putative	Tb927.10.13270	
Tb927.10.13280	Tb927.10.13280:mRNA	hypothetical protein, conserved	Tb927.10.13280	
Tb927.10.13290	Tb927.10.13290:mRNA	ethanolamine phosphotransferase (EPT)	Tb927.10.13290	
Tb927.10.13320	Tb927.10.13320:mRNA	DNA-directed RNA polymerase II/III subunit, putative	Tb927.10.13320	
Tb927.10.13330	Tb927.10.13330:mRNA	paraflagellar rod component, putative	Tb927.10.13330	
Tb927.10.13360	Tb927.10.13360:mRNA	Elongation factor Tu, mitochondrial	Tb927.10.13360	
Tb927.10.13430	Tb927.10.13430:mRNA	citrate synthase, putative	Tb927.10.13430	
Tb927.10.13450	Tb927.10.13450:mRNA	hypothetical protein, conserved	Tb927.10.13450	
Tb927.10.13470	Tb927.10.13470:mRNA	PA26 p53-induced protein (sestrin), putative	Tb927.10.13470	
Tb927.10.13490	Tb927.10.13490:mRNA	CAMK/CAMKL family protein kinase, putative	Tb927.10.13490	
Tb927.10.13510	Tb927.10.13510:mRNA	zinc metallopeptidase, putative	Tb927.10.13510	
Tb927.10.13520	Tb927.10.13520:mRNA	Zn-finger in Ran binding protein and others/FYVE zinc finger, putative	Tb927.10.13520	
Tb927.10.13550	Tb927.10.13550:mRNA	hypothetical protein, conserved	Tb927.10.13550	
Tb927.10.13570	Tb927.10.13570:mRNA	RNA-binding protein, putative	Tb927.10.13570	
Tb927.10.13600	Tb927.10.13600:mRNA	hypothetical protein, conserved	Tb927.10.13600	
Tb927.10.13630	Tb927.10.13630:mRNA	glucosidase, putative	Tb927.10.13630	
Tb927.10.13720	Tb927.10.13720:mRNA	RNA-binding protein 29, putative	Tb927.10.13720	
Tb927.10.13730	Tb927.10.13730:mRNA	60S ribosomal protein L7, putative	Tb927.10.13730	
Tb927.10.13740	Tb927.10.13740:mRNA	synaptotagmin, putative	Tb927.10.13740	
Tb927.10.13780	Tb927.10.13780:mRNA	glycogen synthase kinase 3	Tb927.10.13780	
Tb927.10.13790	Tb927.10.13790:mRNA	hypothetical protein, conserved	Tb927.10.13790	
Tb927.10.13800	Tb927.10.13800:mRNA	hypothetical protein, conserved	Tb927.10.13800	
Tb927.10.13830	Tb927.10.13830:mRNA	chaperone protein DnaJ, putative	Tb927.10.13830	
Tb927.10.13860	Tb927.10.13860:mRNA	GPI-anchor transamidase subunit 8 (GPI8)	Tb927.10.13860	
Tb927.10.1390	Tb927.10.1390:mRNA	Hypoxanthine-guanine-xanthine phosphoribosyltransferase	Tb927.10.1390	
Tb927.10.13960	Tb927.10.13960:mRNA	paralyzed flagella protein 20	Tb927.10.13960	
Tb927.10.13990	Tb927.10.13990:mRNA	Pentatricopeptide repeat protein (PPR), putative	Tb927.10.13990	
Tb927.10.1400	Tb927.10.1400:mRNA	hypoxanthine-guanine phosphoribosyltransferase	Tb927.10.1400	
Tb927.10.14000	Tb927.10.14000:mRNA	aconitase	Tb927.10.14000	
Tb927.10.14010	Tb927.10.14010:mRNA	tubulin cofactor C domain-containing protein RP2	Tb927.10.14010	
Tb927.10.14020	Tb927.10.14020:mRNA	hypothetical protein, conserved	Tb927.10.14020	
Tb927.10.14030	Tb927.10.14030:mRNA	hypothetical protein, conserved	Tb927.10.14030	
Tb927.10.14040	Tb927.10.14040:mRNA	vacuolar ATP synthase subunit c, putative	Tb927.10.14040	
Tb927.10.14090	Tb927.10.14090:mRNA	transporter, putative	Tb927.10.14090	
Tb927.10.14130	Tb927.10.14130:mRNA	SRP19 protein, putative	Tb927.10.14130	
Tb927.10.14140	Tb927.10.14140:mRNA	pyruvate kinase 1	Tb927.10.14140	
Tb927.10.14150	Tb927.10.14150:mRNA	nuclear segregation protein, putative	Tb927.10.14150	
Tb927.10.14170	Tb927.10.14170:mRNA	aquaglyceroporin 2	Tb927.10.14170	
Tb927.10.14180	Tb927.10.14180:mRNA	protein transport protein SEC13	Tb927.10.14180	
Tb927.10.14190	Tb927.10.14190:mRNA	hypothetical protein, conserved	Tb927.10.14190	
Tb927.10.1420	Tb927.10.1420:mRNA	metallo-peptidase, Clan MG, Family M24	Tb927.10.1420	
Tb927.10.14200	Tb927.10.14200:mRNA	syntaxin 5	Tb927.10.14200	
Tb927.10.14240	Tb927.10.14240:mRNA	N-myristoyltransferase	Tb927.10.14240	
Tb927.10.14310	Tb927.10.14310:mRNA	hypothetical protein, conserved	Tb927.10.14310	
Tb927.10.14320	Tb927.10.14320:mRNA	Flagellum attachment zone protein 9	Tb927.10.14320	
Tb927.10.14330	Tb927.10.14330:mRNA	Utp14 protein, putative	Tb927.10.14330	
Tb927.10.14340	Tb927.10.14340:mRNA	hypothetical protein, conserved	Tb927.10.14340	
Tb927.10.14370	Tb927.10.14370:mRNA	hypothetical protein, conserved	Tb927.10.14370	
Tb927.10.14380	Tb927.10.14380:mRNA	Hsp70 protein, putative	Tb927.10.14380	
Tb927.10.14390	Tb927.10.14390:mRNA	FACT complex subunit POB3	Tb927.10.14390	
Tb927.10.1440	Tb927.10.1440:mRNA	hypothetical protein, conserved	Tb927.10.1440	
Tb927.10.14470	Tb927.10.14470:mRNA	intraflagellar transport protein 140	Tb927.10.14470	
Tb927.10.14480	Tb927.10.14480:mRNA	hypothetical protein, conserved	Tb927.10.14480	
Tb927.10.14490	Tb927.10.14490:mRNA	hypothetical protein, conserved	Tb927.10.14490	
Tb927.10.1450	Tb927.10.1450:mRNA	plectin, putative	Tb927.10.1450	
Tb927.10.14500	Tb927.10.14500:mRNA	hypothetical protein, conserved	Tb927.10.14500	
